V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_12,Q7,Q8,Q9,Surv1_Pers_1,Surv1_Pers_2,Surv1_Pers_3,Surv1_Pers_4,Surv1_Pers_5,Surv1_Pers_6,Surv1_Pers_7,Surv1_Pers_8,Surv1_Pers_9,Surv1_Pers_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q12_16,Q12_17,Q12_18,Q12_19,Q12_20,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q23_1,Q23_2,Q23_3,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q25,Q26,Q27,Q28,Q29,Q29_TEXT,Q30,Q31_1,Q31_2,Q32,Q32_TEXT,Q33,Q34,Q34_TEXT,Q35,Q36,Q36_TEXT,Q37,Q38,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Please complete this survey. The data / gathered from this survey will help us train our intelligen...,What is your participant number? / (Experimenter will give you this.) ,"In the questions that / follow, we ask about your online shopping activities to help our / classifier...",How often do you shop online (both browsing / and purchasing products)? ,"Have you ever purchased a product from the / following places online? -Directly from a retailer, such as gap.com, homedepot.com, bestbuy.com, etc.","Have you ever purchased a product from the / following places online? -From a third-party website, such as amazon.com, etc.","Have you ever purchased the following / products on the Internet? -Household goods (e.g. beds, blankets, sofas)",Have you ever purchased the following / products on the Internet? -Clothes and apparel,Have you ever purchased the following / products on the Internet? -Luxury goods,Have you ever purchased the following / products on the Internet? -Food and groceries,"Have you ever purchased the following / products on the Internet? -Consumer electronics (e.g. computers, televisions, MP3 players)","Have you ever purchased the following / products on the Internet? -Sporting goods (e.g. football, baseball bat, soccer goal)","Have you ever purchased the following / products on the Internet? -Tools and home improvement (e.g. screwdriver, wrench, measuring tape)","Have you ever purchased the following / products on the Internet? -Office supplies (e.g. pen, paper, stapler)","Have you ever purchased the following / products on the Internet? -Pet Supplies (e.g. dog food, aquarium, animal medicine)",Have you ever purchased the following / products on the Internet? -Books,What is the most you have spent on a / product online without physically seeing it / first?,"The questions that follow / ask about your online shopping preferences, personality / characteristics...",Which of the following / would make you more likely to shop online?,"Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Extraverted, enthusiastic.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Critical, quarrelsome.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Dependable, self-disciplined.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Anxious, easily upset.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Open to new experiences, complex.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Reserved, quiet.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Sympathetic, warm.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Disorganized, careless.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Calm, emotionally stable.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Conventional, uncreative.",Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-My life is determined by my own actions.,Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-I am usually able to protect my personal interests.,Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-I can pretty much determine what will happen in my life.,"Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-To a great extent, my life is controlled by accidental happenings.",Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-Often there is no chance of protecting my personal interest from bad luck happenings.,"Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-When I get what I want, it's usually because I'm lucky.",Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-People like myself have very little chance of protecting our personal interests where they conflict with those of strong pressure groups.,Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-My life is chiefly controlled by powerful others.,Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-I feel like what happens in my life is mostly determined by powerful people.,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-interested,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-distressed,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-excited,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-upset,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-strong,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-guilty,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-scared,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-hostile,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-enthusiastic,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-proud,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-irritable,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-alert,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-ashamed,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-inspired,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-nervous,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-determined,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-attentive,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-jittery,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-active,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-afraid,Searching for and buying products / online requires using a computing device and the Internet. The...,"These are some things /  people may think of when shopping or doing other things /  online. Please an...-In general, how concerned are you about your privacy while you are using the internet?",These are some things /  people may think of when shopping or doing other things /  online. Please an...-Are you concerned about online organizations not being who they claim they are?,These are some things /  people may think of when shopping or doing other things /  online. Please an...-Are you concerned about online identity theft?,These are some things /  people may think of when shopping or doing other things /  online. Please an...-Are you concerned about people you do not know obtaining personal information about you from your online activities?,These are some things /  people may think of when shopping or doing other things /  online. Please an...-Are you concerned that if you use your credit card to buy something on the internet your credit card number will be obtained/intercepted by someone else?,These are some things /  people may think of when shopping or doing other things /  online. Please an...-Are you concerned that an email you send may be read by someone else besides the person you sent it to?,Approximately how many hours per week do you / spend on computing devices (desktop or laptop comput...,Approximately how many hours per week do you / spend on the Internet (on any computing device)?,How familiar are you with the following computer and Internet-related items? Please choose a numb...-Advanced search,How familiar are you with the following computer and Internet-related items? Please choose a numb...-PDF,How familiar are you with the following computer and Internet-related items? Please choose a numb...-Spyware,How familiar are you with the following computer and Internet-related items? Please choose a numb...-Wiki,How familiar are you with the following computer and Internet-related items? Please choose a numb...-Cache,How familiar are you with the following computer and Internet-related items? Please choose a numb...-Phishing,How familiar are you with the following computer and Internet-related items? Please choose a numb...-Mobile payment, How would you rate your familiarity / with the following concepts or tools?  -Internet Protocol (IP) address, How would you rate your familiarity / with the following concepts or tools?  -Cookie, How would you rate your familiarity / with the following concepts or tools?  -Incognito mode / private browsing mode in browsers, How would you rate your familiarity / with the following concepts or tools?  -Encryption, How would you rate your familiarity / with the following concepts or tools?  -Secure Sockets Layer (SSL) / Transport Layer Security (TLS), How would you rate your familiarity / with the following concepts or tools?  -Virtual Private Network (VPN), How would you rate your familiarity / with the following concepts or tools?  -Internet Service Provider (ISP), How would you rate your familiarity / with the following concepts or tools?  -Clients and servers, How would you rate your familiarity / with the following concepts or tools?  -Router," How would you rate your familiarity / with the following concepts or tools?  -Wired Equivalent Privacy (WEP), Wi-Fi Protected Access (WPA), & Wi-Fi Protected Access II (WPA2)", How would you rate your familiarity / with the following concepts or tools?  -Google Wallet, How would you rate your familiarity / with the following concepts or tools?  -Apple Pay,Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-Incognito mode / private browsing mode in browsers prevents websites from collecting information about you.,Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-Internet Protocol (IP) addresses can always uniquely identify your computer.,"Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-When a website uses ""https"" in its web address, it secures communication between a person's computing device and the website itself.","Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-When using Virtual Private Network (VPN), network traffic is easily visible to others.","Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-When using Wi-Fi, your network traffic is never visible to other people using the same network.","Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-During Wi-Fi use, a computing device broadcasts data in order to access online information.",Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-PayPal is a type of credit card used for online shopping.,The questions that follow ask about your / computing and online behaviors during the PAST TWO WEEKS...,Indicate how often you did the following things / during the past / two weeks. If you do not have the...-I had my computer screen automatically lock if I didn’t use it for a prolonged period of time.,Indicate how often you did the following things / during the past / two weeks. If you do not have the...-I used a password/passcode to unlock my laptop or tablet.,Indicate how often you did the following things / during the past / two weeks. If you do not have the...-I manually locked my computer screen when I stepped away from it.,Indicate how often you did the following things / during the past / two weeks. If you do not have the...-I used a PIN or passcode to unlock my mobile phone.,"Indicate how often you did the / following things during the past two / weeks. If you are unfamiliar...-When someone sent me a link, I opened it without first verifying where it went.","Indicate how often you did the / following things during the past two / weeks. If you are unfamiliar...-I knew what website I was visiting based on its look and feel, rather than by looking at the URL bar.",Indicate how often you did the / following things during the past two / weeks. If you are unfamiliar...-I submitted information to websites without first verifying that it would be sent securely.,"Indicate how often you did the / following things during the past two / weeks. If you are unfamiliar...-When browsing websites, I mouseovered links to see where they went, before clicking them.","Indicate how often you did the / following things during the past two / weeks. If you are unfamiliar...-If I discovered a security problem, I continued what I was doing because I assumed someone else would fix it.","Indicate how often you did the following things during the / past two weeks. If you do not have a c...-When I was prompted about a software update, I installed it right away.",Indicate how often you did the following things during the / past two weeks. If you do not have a c...-I tried to make sure that the programs I used were up-to-date.,Indicate how often you did the following things during the / past two weeks. If you do not have a c...-I verified that my anti-virus software had been regularly updating itself.,"While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I used a Virtual Private Network (VPN) to conduct certain online activities","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I used a Secure Shell (SSH) tunnel to conduct certain online activities.","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I allowed my devices to automatically connect to the nearest Wi-Fi access point.","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I left my browser window open when I was done using it.","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I logged out of my online user accounts (e.g., online shopping, e-mail, social network sites, etc.) when I finished using them.","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I did sensitive online activities over open or public Wi-Fi. (e.g. banking, inputting credit card information)","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I did non-sensitive online activities over open or public Wi-Fi. (e.g. browsing a news source)","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I paid attention to whether websites used “https” in their URL.","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I kept a firewall enabled at all times on my device(s).",Please answer the questions that /  follow to the best of your knowledge. ,What is your age? (Enter / numeric whole number.),What is your / gender?,Are you Hispanic or / Latino?,Which racial group do you / consider yourself?,Which racial group do you / consider yourself?-TEXT,Do you have a background / in computer science or related domains?,"If you do have a / background in computer science or related domains, where did you / get this knowle...-Schooling (classroom or online settings)","If you do have a / background in computer science or related domains, where did you / get this knowle...-Work or job activities (not school related)",What is your current / primary occupational status?,What is your current / primary occupational status?-TEXT,"If you are currently / employed, what field of work are you employed in?",What is the highest / educational degree you have completed up to this / point? ,What is the highest / educational degree you have completed up to this / point? -TEXT,What was the subject of / your degree for the highest educational degree you have / completed?,"If you are currently a / student, what best describes your degree program?","If you are currently a / student, what best describes your degree program?-TEXT","If you are currently a / student, what is the subject of your degree?",Thank you for completing / this survey! Please let the experimenter know you are finished with / this...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_3je4cpbJ4tmh5wX,Default Response Set,Anonymous,,,,1,2015-04-13 18:50:39,2015-04-13 19:10:46,1,,00,1,2,2,1,2,1,2,2,1,1,2,2,2,,,1,1,3,4,4,2,4,2,3,2,4,2,3,3,4,3,3,2,2,3,3,2,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,3,1,2,1,1,2,4,4,4,3,3,4,4,4,5,2,3,1,2,,3,4,4,4,2,3,3,4,4,3,,,4,3,3,2,4,3,,1,1,1,1,5,2,4,3,3,6,4,4,1,2,2,4,4,1,1,2,3,2,1,21,2,2,5,,,,,4,,,5,,,2,,Professional Writing/Human-Computer Interaction,1,40.443893432617,-79.956100463867,-1,
R_zdUkVHmG1rDbFaV,Default Response Set,Anonymous,,,,1,2015-05-11 15:02:50,2015-05-11 15:10:56,1,1,000,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,40.443893432617,-79.956100463867,-1,
R_3ikeGscVh7cFAaA,Default Response Set,Anonymous,,,,1,2015-05-19 17:07:45,2015-05-19 17:16:37,1,1,00000,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,40.443893432617,-79.956100463867,-1,
R_CaIg2LPMuP9lu7f,Default Response Set,Anonymous,,,,1,2015-06-01 14:14:54,2015-06-01 14:52:43,1,1,1234,1,4,1,1,1,1,2,1,1,1,2,1,2,,3,1,,2,3,4,4,5,5,4,2,4,3,4,4,3,2,4,3,3,3,4,1,2,2,1,2,1,1,1,2,3,1,1,1,1,2,4,5,2,2,1,1,3,2,4,5,5,5,4,2,5,4,1,4,3,2,3,4,3,4,4,2,3,2,2,3,4,2,2,4,5,5,4,3,2,2,1,5,5,5,5,1,4,4,3,1,3,3,5,3,2,5,5,2,4,4,2,3,1,20,1,2,2,,1,1,,4,,HCI,5,,BS,2,,Operations Research,1,40.443893432617,-79.956100463867,-1,
R_1eWWGOqdlWvoHSh,Default Response Set,Anonymous,,,,1,2015-06-02 10:35:08,2015-06-02 10:49:12,1,1,123,1,5,1,1,1,1,1,1,1,1,1,1,2,,2,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,5,5,5,5,1,5,3,1,5,3,3,3,3,2,3,2,3,3,2,2,2,3,3,3,3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,22,1,2,2,,1,1,1,6,,cs,7,,BA,2,,BA,1,40.443893432617,-79.956100463867,-1,
R_2zHEg2eYstnenNV,Default Response Set,Anonymous,,,,1,2015-06-02 14:02:23,2015-06-02 14:19:12,1,1,123,1,6,1,1,1,1,1,2,1,1,1,1,2,,3,1,,2,2,4,2,3,4,4,2,4,2,4,4,4,1,2,3,1,2,2,3,1,2,1,3,1,1,1,3,2,1,3,1,3,1,4,3,1,3,1,1,4,2,3,2,2,2,5,4,5,5,5,5,5,5,5,4,4,5,4,3,4,5,5,4,4,5,5,1,1,4,1,1,5,1,1,4,5,1,1,3,4,4,3,1,3,3,2,1,1,2,4,3,1,4,3,5,1,19,1,2,5,,1,1,2,1,,Research,5,,,2,,Cognitive Science and Human-Computer Interaction,1,40.443893432617,-79.956100463867,-1,
R_1Ap2bFrJh2RUSqd,Default Response Set,Anonymous,,,,1,2015-06-02 14:55:06,2015-06-02 15:22:57,1,1,D1,1,6,1,1,1,1,1,1,1,2,1,1,2,,5,1,,2,5,3,4,4,4,4,2,5,2,4,4,4,1,2,2,3,2,2,2,2,2,1,2,1,1,1,2,1,1,4,1,2,2,2,4,3,1,1,1,3,4,3,3,2,4,5,5,5,5,4,5,4,4,4,3,4,4,3,3,4,3,4,3,3,3,3,1,4,4,2,3,4,2,1,5,5,3,1,4,1,4,2,1,4,5,4,1,1,1,3,3,1,3,5,4,1,19,1,2,5,,1,1,1,1,,Design Research,4,,N/A,2,,Communication Design,1,40.443893432617,-79.956100463867,-1,
R_UQ1k6EDHagFrmWB,Default Response Set,Anonymous,,,,1,2015-06-03 10:57:50,2015-06-03 11:27:36,1,1,1,1,6,1,1,2,1,1,2,1,1,1,2,2,,3,1,,4,3,5,2,4,2,5,2,4,3,4,4,4,4,2,2,2,2,2,3,2,1,1,1,1,1,1,3,2,1,1,1,2,1,3,3,1,3,1,1,4,2,4,4,3,3,5,5,4,5,4,4,3,4,4,4,5,5,4,4,5,4,4,4,4,4,4,1,1,5,2,1,5,1,1,5,5,3,5,2,2,2,3,1,3,4,3,1,6,2,4,3,6,4,5,6,1,,2,2,2,,1,1,1,4,,,8,,,5,,,1,40.443893432617,-79.956100463867,-1,
R_xrezBlTmOvjecff,Default Response Set,Anonymous,,,,1,2015-06-03 15:30:26,2015-06-03 16:34:09,1,1,H3,1,3,2,1,1,2,2,2,1,2,2,1,2,1,2,1,,3,3,4,3,4,4,4,3,3,2,4,4,3,2,2,2,2,3,3,3,1,3,1,2,1,1,1,2,2,1,4,1,2,1,2,5,2,2,1,1,3,3,4,3,4,2,4,3,2,4,2,4,4,2,1,4,4,3,4,3,3,4,4,4,3,3,2,1,2,4,3,1,4,2,1,5,5,4,5,3,3,3,2,3,1,3,7,1,3,3,3,4,1,3,2,6,1,21,1,2,5,,1,1,1,4,,,5,,No subject,2,,Computer Science,1,40.443893432617,-79.956100463867,-1,
R_2dAp6xqfmz8IN45,Default Response Set,Anonymous,,,,1,2015-06-04 10:50:29,2015-06-04 11:12:32,1,1,2,1,2,1,1,2,1,2,2,1,1,1,2,2,1,3,1,,4,3,5,3,4,3,5,2,5,3,4,4,3,3,4,4,4,3,4,3,3,4,1,4,1,1,1,3,4,1,4,1,3,2,4,3,2,3,1,1,4,5,5,5,5,4,4,3,5,5,3,5,5,1,5,5,4,5,4,1,4,4,4,4,3,1,3,5,5,6,4,6,6,4,1,5,5,5,5,4,3,4,2,1,1,4,1,1,1,4,2,2,3,3,2,1,1,19,2,2,2,,1,1,1,4,,Robotics,5,,No subject,2,,Electrical and Computer Engineering,1,40.443893432617,-79.956100463867,-1,
R_6ECip3D3ojCp465,Default Response Set,Anonymous,,,,1,2015-06-08 11:49:49,2015-06-08 12:13:51,1,1,1234,1,6,1,1,1,1,2,2,1,1,2,2,2,1,5,1,3,2,3,4,2,4,4,4,3,4,3,3,3,2,3,3,2,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,4,4,5,5,5,3,4,4,2,4,1,4,4,1,3,3,3,4,3,1,4,3,4,3,3,3,4,2,2,2,4,2,2,2,1,2,3,1,1,3,2,3,1,2,4,4,3,2,3,1,1,1,1,3,1,2,1,21,1,2,2,,1,1,2,4,,,5,,,2,,math,1,40.443893432617,-79.956100463867,-1,
R_3O9bYbg6G1qG4cz,Default Response Set,Anonymous,,,,1,2015-06-09 15:38:21,2015-06-09 15:50:45,1,1,A1,1,5,2,2,2,1,2,2,2,2,2,1,2,1,2,1,2,3,4,4,4,4,3,4,4,2,3,3,4,3,5,5,2,3,2,3,3,3,4,2,3,3,2,4,2,3,4,4,3,3,4,4,3,3,4,3,1,5,5,5,5,5,5,4,5,3,5,2,5,1,4,2,4,4,4,2,2,3,2,4,3,2,2,2,4,4,4,3,3,4,4,1,1,1,1,5,1,4,2,3,2,1,2,3,4,2,4,2,4,3,3,3,3,1,20,2,2,2,,1,1,2,4,,,4,,general education,2,,mathematics,1,40.443893432617,-79.956100463867,-1,
R_2f3xp2KcIEh1KBK,Default Response Set,Anonymous,,,,1,2015-06-10 15:34:38,2015-06-10 16:02:11,1,1,pa2,1,4,2,1,2,2,2,2,1,2,1,1,2,1,3,1,4,2,3,3,2,4,4,3,4,4,4,4,4,3,3,4,3,4,2,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,3,5,4,3,3,2,5,5,3,3,2,3,2,2,3,3,3,3,3,3,3,4,4,3,3,3,3,4,2,4,3,2,4,2,1,4,5,5,4,4,4,4,2,2,2,5,3,1,4,2,3,4,2,4,2,2,1,20,2,2,2,,1,1,2,4,,,5,,Computer Science,2,,Computer Science,1,40.443893432617,-79.956100463867,-1,
R_1jrjHoKNSGTErab,Default Response Set,Anonymous,,,,1,2015-06-11 15:36:06,2015-06-11 16:04:02,1,1,pc2,1,6,1,1,1,1,2,2,1,2,2,1,1,1,3,1,3,2,1,4,2,4,4,4,2,4,3,3,5,2,1,2,2,4,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,1,1,2,4,5,5,4,5,4,4,5,4,2,4,3,1,2,4,2,4,4,1,2,3,2,3,2,3,3,4,6,6,2,1,6,3,1,5,5,3,1,5,5,5,1,6,2,2,2,1,6,5,5,1,2,4,1,6,1,19,2,2,2,,1,1,2,1,,research,5,,information systems,2,,information systems,1,40.443893432617,-79.956100463867,-1,
